"TWEET_ID","ENT","I","E","IOB_TAG","TYPE"
"993106181395804161","hubbayn","73","80","I","Work"
"993113385268064256","Hille","50","55","B","Contributor"
"993113385268064256","Perl","56","60","I","Contributor"
"993113385268064256","Lee","65","68","B","Contributor"
"993113385268064256","Santana","69","76","I","Contributor"
"993117942089994241","Colin","66","71","B","Contributor"
"993117942089994241","Currie","72","78","I","Contributor"
"993119627927543810","Mozart","35","41","B","Contributor"
"993119627927543810","Stravinsky","46","56","B","Contributor"
"993142112425259008","Peter","26","31","B","Contributor"
"993142112425259008","Pears","32","37","I","Contributor"
"993142112425259008","Benjamin","38","46","B","Contributor"
"993142112425259008","Britten","47","54","I","Contributor"
"993145847050330113","Fela","70","74","B","Contributor"
"993145847050330113","Kuti","75","79","I","Contributor"
"993145847050330113","Unknown","82","89","B","Work"
"993145847050330113","Soldier","90","97","I","Work"
"993171416177659904","Stravinsky","48","58","B","Contributor"
"993171416177659904","Mozart","66","72","B","Contributor"
"993172904182460416","Robeson","71","78","B","Contributor"
"993178434783326208","Laura","7","12","B","Contributor"
"993178434783326208","Moody","13","18","I","Contributor"
"993185038564020225","Paul","57","61","B","Contributor"
"993185038564020225","Robeson","62","69","I","Contributor"
"993203243617603584","Colin","60","65","B","Contributor"
"993203243617603584","Currie","66","72","I","Contributor"
"993206754958872578","Nick","13","17","B","Contributor"
"993206754958872578","Luscombe","18","26","I","Contributor"
"993206754958872578","Japanese","29","37","B","Work"
"993206754958872578","journey","38","45","I","Work"
"993225096461504512","Shirley","119","126","B","Contributor"
"993225096461504512","Porter","127","133","I","Contributor"
"993241109072633859","Howells","94","101","B","Contributor"
"993260650209120261","Colin","168","173","B","Contributor"
"993260650209120261","Stetson","174","181","I","Contributor"
"993260650209120261","Jim","186","189","B","Contributor"
"993260650209120261","Ghedi","190","195","I","Contributor"
"993263373969047552","Zachary","20","27","B","Contributor"
"993263373969047552","Paul","28","32","I","Contributor"
"993274728398934016","Nightingales","13","25","B","Contributor"
"993274755599011840","Nightingales","24","36","B","Contributor"
"993351778820345857","Gabrieli","118","126","B","Contributor"
"993351778820345857","Mozart","128","134","B","Contributor"
"993351778820345857","Bach","136","140","B","Contributor"
"993351778820345857","Erollyn","145","152","B","Contributor"
"993351778820345857","Wallen","153","159","I","Contributor"
"993378509149138944","Sound","7","12","B","Work"
"993378509149138944","The","13","16","I","Work"
"993378509149138944","Trumpet","17","24","I","Work"
"993384109899681792","Nightingales","37","49","B","Contributor"
"993387020662771712","Tylman","52","58","B","Contributor"
"993387020662771712","Susato","59","65","I","Contributor"
"993387020662771712","Danserye","66","74","B","Work"
"993390402823770112","Beethoven","26","35","B","Contributor"
"993390402823770112","ninth","38","43","B","Work"
"993402229167181824","Amalia","43","49","B","Contributor"
"993402229167181824","For","51","54","B","Work"
"993402229167181824","Your","55","59","I","Work"
"993402229167181824","Delight'","60","68","I","Work"
"993405284398911488","Mariza","39","45","B","Contributor"
"993405284398911488","Amalia","65","71","B","Contributor"
"993405684665540608","Mariza","37","43","B","Contributor"
"993408192255315969","Tchaikovsky","33","44","B","Contributor"
"993408192255315969","Brahms","74","80","B","Contributor"
"993409223034855424","Copland","15","22","B","Contributor"
"993409223034855424","Vaughan","208","215","B","Contributor"
"993409223034855424","Williams","216","224","I","Contributor"
"993409223034855424","Tallis","225","231","B","Contributor"
"993409223034855424","Fantasia","232","240","B","Work"
"993409261429379073","Copland","24","31","B","Contributor"
"993409261429379073","The","39","42","B","Contributor"
"993409261429379073","Quiet","43","48","I","Contributor"
"993409261429379073","City","49","53","I","Contributor"
"993409261429379073","The","57","60","B","Work"
"993409261429379073","Promise","61","68","I","Work"
"993409261429379073","of","69","71","I","Work"
"993409261429379073","Living","72","78","I","Work"
"993409314768474112","Strauss","38","45","B","Contributor"
"993409314768474112","Thus","47","51","B","Work"
"993409314768474112","Spake","52","57","I","Work"
"993409314768474112","Zarathrusa","58","68","I","Work"
"993409719422406656","Lily","19","23","B","Contributor"
"993409719422406656","Boulanger","24","33","I","Contributor"
"993409791396630528","Also","64","68","B","Work"
"993409791396630528","sprach","69","75","I","Work"
"993409791396630528","Zarathustra","76","87","I","Work"
"993409791396630528","Strauss","89","96","B","Contributor"
"993410074885357568","Jeremy","58","64","B","Contributor"
"993410074885357568","Rose","65","69","I","Contributor"
"993412382415310848","Bernstein","4","13","B","Contributor"
"993412382415310848","Prelude,","16","24","B","Work"
"993412382415310848","Fugue","25","30","I","Work"
"993412382415310848","and","31","34","I","Work"
"993412382415310848","Riffs","35","40","I","Work"
"993412985300439040","Tokyo","97","102","B","Work"
"993412985300439040","Melody","103","109","I","Work"
"993412985300439040","Helmut","114","120","B","Contributor"
"993412985300439040","Zacharias","121","130","I","Contributor"
"993419754068234240","Emerson","67","74","B","Contributor"
"993419754068234240","lake","75","79","I","Contributor"
"993419754068234240","and","80","83","I","Contributor"
"993419754068234240","palmer","84","90","I","Contributor"
"993419754068234240","Ginasera","118","126","B","Contributor"
"993419754068234240","first","129","134","B","Work"
"993419754068234240","piano","135","140","I","Work"
"993419754068234240","concerto","141","149","I","Work"
"993421859751424000","Dawn","0","4","B","Work"
"993421859751424000","and","5","8","I","Work"
"993421859751424000","Siegfried's","9","20","I","Work"
"993421859751424000","Rhine","21","26","I","Work"
"993421859751424000","Journey","27","34","I","Work"
"993421859751424000","(Götterdämmerung)","35","52","I","Work"
"993421859751424000","Richard","55","62","B","Contributor"
"993421859751424000","Wagner","63","69","I","Contributor"
"993422131626233857","Brahms","28","34","B","Contributor"
"993439993900290049","Spiegel","4","11","B","Work"
"993439993900290049","im","12","14","I","Work"
"993439993900290049","Spiegel","15","22","I","Work"
"993440353582710784","Introduction","0","12","B","Work"
"993440353582710784","(Prelude)","13","22","I","Work"
"993440353582710784","from","23","27","I","Work"
"993440353582710784","the","28","31","I","Work"
"993440353582710784","Gadfly","32","38","I","Work"
"993440353582710784","suite,","39","45","I","Work"
"993440353582710784","Op","46","48","I","Work"
"993440353582710784","97a","49","52","I","Work"
"993440353582710784","Dmitri","55","61","B","Contributor"
"993440353582710784","Shostakovich","62","74","I","Contributor"
"993446768997224448","Lili","15","19","B","Contributor"
"993446768997224448","Boulanger","20","29","I","Contributor"
"993447971994918913","Lili","11","15","B","Contributor"
"993447971994918913","Boulanger","16","25","I","Contributor"
"993448569553276929","Lili","7","11","B","Contributor"
"993448569553276929","Boulanger","12","21","I","Contributor"
"993462536459649024","Nadia","40","45","B","Contributor"
"993462536459649024","Boulanger","46","55","I","Contributor"
"993476507593928706","Handel","95","101","B","Contributor"
"993478201568526336","Anne","51","55","B","Contributor"
"993478201568526336","Le","56","58","I","Contributor"
"993478201568526336","Bozec","59","64","I","Contributor"
"993480761813667840","Boogie","1","7","B","Work"
"993480761813667840","Woogie","8","14","I","Work"
"993480761813667840","12-Bar","15","21","I","Work"
"993480761813667840","Blues","22","27","I","Work"
"993484032896917506","Anne","89","93","B","Contributor"
"993484032896917506","Le","94","96","I","Contributor"
"993484032896917506","Bozec","97","102","I","Contributor"
"993485615923712001","Debussy","89","96","B","Contributor"
"993485615923712001","La","99","101","B","Work"
"993485615923712001","damoiselle","102","112","I","Work"
"993485615923712001","élue","113","117","I","Work"
"993486701627629568","Marin","46","51","B","Contributor"
"993486701627629568","Alsop","52","57","I","Contributor"
"993492755375673345","Mahler","103","109","B","Contributor"
"993492755375673345","5","110","111","B","Work"
"993506929686261761","Mahler","16","22","B","Contributor"
"993506929686261761","9","23","24","B","Work"
"993510244444790785","Chineke!","87","95","B","Contributor"
"993512448555732992","Philippa","50","58","B","Contributor"
"993520784088928257","Anne","60","64","B","Contributor"
"993520784088928257","Le","65","67","I","Contributor"
"993520784088928257","Bozec","68","73","I","Contributor"
"993522312040402944","Noel","10","14","B","Contributor"
"993522312040402944","Coward","15","21","I","Contributor"
"993522312040402944","Jeremy","78","84","B","Contributor"
"993522312040402944","Rose","85","89","I","Contributor"
"993523855607193601","Laura","66","71","B","Contributor"
"993523855607193601","Moody","72","77","I","Contributor"
"993546595353485312","Palestrina","124","134","B","Contributor"
"993550876144029696","Colin","66","71","B","Contributor"
"993550876144029696","Currie","72","78","I","Contributor"
"993569779242844160","Handel","103","109","B","Contributor"
"993592002938851334","Shostakovich","31","43","B","Contributor"
"993592002938851334","4th","46","49","B","Work"
"993592002938851334","Symphony","50","58","I","Work"
"993592738263261184","Shostakovich","13","25","B","Contributor"
"993592738263261184","4","26","27","B","Work"
"993595844149612544","Shostakovitch","28","41","B","Contributor"
"993595844149612544","4th","42","45","B","Work"
"993595844149612544","Ashkenazy","59","68","B","Contributor"
"993609156425867264","Mozart","124","130","B","Contributor"
"993609156425867264","Vivaldi","299","306","B","Contributor"
"993609156425867264","Wagner","325","331","B","Contributor"
"993623953833852928","Handel","69","75","B","Contributor"
"993623953833852928","Humphries","81","90","B","Contributor"
"993724276128862208","Aicha","15","20","B","Contributor"
"993724276128862208","Redouane","21","29","I","Contributor"
"993724276128862208","Lopa","46","50","B","Contributor"
"993724276128862208","Kothari","51","58","I","Contributor"
"993735756966498305","Psaume","95","101","B","Work"
"993735756966498305","130","102","105","I","Work"
"993746480547680256","Organ","0","5","B","Work"
"993746480547680256","Concerto","6","14","I","Work"
"993746480547680256","in","15","17","I","Work"
"993746480547680256","B","18","19","I","Work"
"993746480547680256","flat,","20","25","I","Work"
"993746480547680256","Op.4","26","30","I","Work"
"993746480547680256","No.2","31","35","I","Work"
"993746480547680256","(HWV","36","40","I","Work"
"993746480547680256","290)","41","45","I","Work"
"993746480547680256","George","48","54","B","Contributor"
"993746480547680256","Frideric","55","63","I","Contributor"
"993746480547680256","Handel","64","70","I","Contributor"
"993752567304908800","RVW","68","71","B","Contributor"
"993753471580073984","Maurice","20","27","B","Contributor"
"993753471580073984","Jarre","28","33","I","Contributor"
"993753768121561088","Summer","39","45","B","Work"
"993753768121561088","is","46","48","I","Work"
"993753768121561088","a-comin","49","56","I","Work"
"993754194816520192","RVW","144","147","B","Contributor"
"993754869747068928","Norfolk","43","50","B","Work"
"993754869747068928","Rhapsody","51","59","I","Work"
"993754869747068928","No","60","62","I","Work"
"993754869747068928","1","63","64","I","Work"
"993756819725213696","Symphony","72","80","B","Contributor"
"993756819725213696","Orchestra","81","90","I","Contributor"
"993756819725213696","Boulanger","99","108","B","Contributor"
"993756819725213696","D’un","175","179","B","Work"
"993756819725213696","matin","180","185","I","Work"
"993756819725213696","de","186","188","I","Work"
"993756819725213696","printemps","189","198","I","Work"
"993758101139488768","Barbara","0","7","B","Contributor"
"993758101139488768","Strozzi","8","15","I","Contributor"
"993758101139488768","Salve","18","23","B","Work"
"993758101139488768","Sancta","24","30","I","Work"
"993758101139488768","Caro","31","35","I","Work"
"993760465598779392","Salve","19","24","B","Work"
"993760465598779392","sancta","25","31","I","Work"
"993760465598779392","caro","32","36","I","Work"
"993760465598779392","Barbara","41","48","B","Contributor"
"993760465598779392","Strozzi","49","56","I","Contributor"
"993760465598779392","Maria","75","80","B","Contributor"
"993760465598779392","Cristina","81","89","I","Contributor"
"993760465598779392","Kiehr","90","95","I","Contributor"
"993771352246059008","Tchaikovsky","84","95","B","Contributor"
"993771352246059008","Prokofiev","133","142","B","Contributor"
"993771352246059008","Visions","145","152","B","Work"
"993771352246059008","Fugitives","153","162","I","Work"
"993773880618704896","Weber","40","45","B","Contributor"
"993773880618704896","invitation","46","56","B","Work"
"993773880618704896","to","57","59","I","Work"
"993773880618704896","the","60","63","I","Work"
"993773880618704896","dance","64","69","I","Work"
"993774620670033921","The","78","81","B","Contributor"
"993774620670033921","Millbrook","82","91","I","Contributor"
"993774620670033921","Ensemble","92","100","I","Contributor"
"993774620670033921","Haydn","171","176","B","Contributor"
"993774620670033921","Rebecca","180","187","B","Contributor"
"993774620670033921","Clarke","188","194","I","Contributor"
"993774620670033921","Lilli","235","240","B","Contributor"
"993774620670033921","Boulanger","241","250","I","Contributor"
"993780284381454337","Martinu","89","96","B","Contributor"
"993780284381454337","2nd","99","102","B","Work"
"993780284381454337","string","103","109","I","Work"
"993780284381454337","serenade","110","118","I","Work"
"993782488261709824","Rameau","7","13","B","Contributor"
"993782883981709317","Mozart","94","100","B","Contributor"
"993782883981709317","Joseph","147","153","B","Contributor"
"993782883981709317","de","154","156","I","Contributor"
"993782883981709317","Bologne","157","164","I","Contributor"
"993782883981709317","Chevalier","165","174","I","Contributor"
"993782883981709317","de","175","177","I","Contributor"
"993782883981709317","St-Georges","178","188","I","Contributor"
"993787483421904896","Wagner","153","159","B","Contributor"
"993796149722206208","Bernstein","101","110","B","Contributor"
"993796539582746624","Fugue","0","5","B","Work"
"993796539582746624","&amp;","6","11","I","Work"
"993796539582746624","Pantomime","12","21","I","Work"
"993796539582746624","(Suite","22","28","I","Work"
"993796539582746624","in","29","31","I","Work"
"993796539582746624","the","32","35","I","Work"
"993796539582746624","Old","36","39","I","Work"
"993796539582746624","Style)","40","46","I","Work"
"993796539582746624","Alfred","49","55","B","Contributor"
"993796539582746624","Schnittke","56","65","I","Contributor"
"993809990392733696","Ethel","5","10","B","Contributor"
"993809990392733696","Smyth","11","16","I","Contributor"
"993815677264900096","Jon","104","107","B","Contributor"
"993815677264900096","Moon","108","112","I","Contributor"
"993815677264900096","1st","114","117","B","Work"
"993815677264900096","movement","118","126","I","Work"
"993815677264900096","of","127","129","I","Work"
"993815677264900096","4th","130","133","I","Work"
"993815677264900096","Symphony","134","142","I","Work"
"993815677264900096","in","143","145","I","Work"
"993815677264900096","F","146","147","I","Work"
"993815677264900096","Minor","148","153","I","Work"
"993815677264900096","(Hughenden)","154","165","I","Work"
"993816548056993792","Beethoven","107","116","B","Contributor"
"993819092325986305","Lili","36","40","B","Contributor"
"993819092325986305","Boulanger","41","50","I","Contributor"
"993819092325986305","D'un","145","149","B","Work"
"993819092325986305","soir","150","154","I","Work"
"993819092325986305","triste","155","161","I","Work"
"993819092325986305","D'un","166","170","B","Work"
"993819092325986305","matin","171","176","I","Work"
"993819092325986305","de","177","179","I","Work"
"993819092325986305","printemps","180","189","I","Work"
"993825842307399681","Michael","44","51","B","Contributor"
"993825842307399681","Pandya","52","58","I","Contributor"
"993846964805668864","Ilker","0","5","B","Contributor"
"993846964805668864","Arcayürek","6","15","I","Contributor"
"993852717884956672","Devil's","45","52","B","Work"
"993852717884956672","Sonata","53","59","I","Work"
"993854310487379969","Tartini","42","49","B","Contributor"
"993854310487379969","sonata","52","58","B","Work"
"993854652079902720","Giuseppe","28","36","B","Contributor"
"993854652079902720","Tartini","37","44","I","Contributor"
"993854652079902720","Sonata","47","53","B","Work"
"993854652079902720","in","54","56","I","Work"
"993854652079902720","G","57","58","I","Work"
"993854652079902720","minor","59","64","I","Work"
"993862075985334273","Matthew","21","28","B","Contributor"
"993862075985334273","Sweet","29","34","I","Contributor"
"993879620591259649","Amy","24","27","B","Contributor"
"993879620591259649","Beach","28","33","I","Contributor"
"993879620591259649","Piano","60","65","B","Work"
"993879620591259649","Concerto","66","74","I","Work"
"993879620591259649","Schumann","149","157","B","Contributor"
"993879620591259649","Rachmaninov","189","200","B","Contributor"
"993880204870410240","Beethoven","76","85","B","Contributor"
"993885031897751552","Will","39","43","B","Contributor"
"993885031897751552","Thomas","44","50","I","Contributor"
"993888703616516096","James","44","49","B","Contributor"
"993888703616516096","Horner","50","56","I","Contributor"
"993888703616516096","Spock","59","64","B","Work"
"993888703616516096","theme","65","70","I","Work"
"993888853734895618","Benjamin","31","39","B","Contributor"
"993888853734895618","Franklin","40","48","I","Contributor"
"993890880116461568","Max","89","92","B","Contributor"
"993890880116461568","Richter","93","100","I","Contributor"
"993891731258204160","Bernard","52","59","B","Contributor"
"993891731258204160","Hermann","60","67","I","Contributor"
"993891748115111937","Wind","59","63","B","Work"
"993891748115111937","Words","64","69","I","Work"
"993891748115111937","Stomu","74","79","B","Contributor"
"993891748115111937","Yamashta","80","88","I","Contributor"
"993892099778056194","Jack","27","31","B","Contributor"
"993892099778056194","Nitzsche","32","40","I","Contributor"
"993893740623249408","Beehoven","100","108","B","Contributor"
"993893740623249408","fifth","111","116","B","Work"
"993894930430005248","All","92","95","B","Work"
"993894930430005248","I","96","97","I","Work"
"993894930430005248","Have","98","102","I","Work"
"993894930430005248","to","103","105","I","Work"
"993894930430005248","Do","106","108","I","Work"
"993894930430005248","Is","109","111","I","Work"
"993894930430005248","Dream","112","117","I","Work"
"993894952596856832","Adagio","56","62","B","Work"
"993894952596856832","Underworld","66","76","B","Contributor"
"993897087774478336","Franz","0","5","B","Contributor"
"993897087774478336","Liszt","6","11","I","Contributor"
"993905660046860288","Jack","62","66","B","Contributor"
"993905660046860288","Nitzsche","67","75","I","Contributor"
"993906700083253250","Christian","46","55","B","Contributor"
"993906700083253250","Bruhn","56","61","I","Contributor"
"993909495838453762","Clinton","206","213","B","Contributor"
"993909495838453762","Shorter","214","221","I","Contributor"
"993914746918395904","Fela","70","74","B","Contributor"
"993914746918395904","Kuti","75","79","I","Contributor"
"993914746918395904","Unknown","82","89","B","Work"
"993914746918395904","Soldier","90","97","I","Work"
"993917134563627008","Jóhann","64","70","B","Contributor"
"993917134563627008","Jóhannsson","71","81","I","Contributor"
"993921200559620096","David","1","6","B","Contributor"
"993921200559620096","Bowie","7","12","I","Contributor"
"993926627745783810","Edward","58","64","B","Contributor"
"993926627745783810","Elgar","65","70","I","Contributor"
"993928192791580672","Bruckner","69","77","B","Contributor"
"993930024477777920","Bruch","22","27","B","Contributor"
"993930024477777920","violin","30","36","B","Work"
"993930024477777920","concerto","37","45","I","Work"
"993932925363204096","Shabaka","11","18","B","Contributor"
"993932925363204096","Hutchings","19","28","I","Contributor"
"993934927237349377","John","47","51","B","Contributor"
"993934927237349377","Williams","52","60","I","Contributor"
"993934927237349377","original","62","70","B","Work"
"993934927237349377","Superman","71","79","I","Work"
"993934927237349377","movie","80","85","I","Work"
"993934927237349377","soundtrack","86","96","I","Work"
"993934927237349377","Captain","100","107","B","Work"
"993934927237349377","Jack's","108","114","I","Work"
"993934927237349377","Theme","115","120","I","Work"
"993934927237349377","JW","151","153","B","Contributor"
"993934927237349377","Outstretch","218","228","B","Work"
"993934927237349377","hands","229","234","I","Work"
"993936371365621760","Du","108","110","B","Work"
"993936371365621760","fond","111","115","I","Work"
"993936371365621760","de","116","118","I","Work"
"993936371365621760","l'abime","119","126","I","Work"
"993961535583281165","Leonard","74","81","B","Contributor"
"993961535583281165","Cohen","82","87","I","Contributor"
"993961740198207496","Laura","66","71","B","Contributor"
"993961740198207496","Moody","72","77","I","Contributor"
"993969291107164160","Jack","66","70","B","Contributor"
"993969291107164160","Nitzsche","71","79","I","Contributor"
"993975896246751232","John","45","49","B","Contributor"
"993975896246751232","Murphy","50","56","I","Contributor"
"993982488258150401","Bhusi","0","5","B","Contributor"
"993982488258150401","Mlongo","6","12","I","Contributor"
"993996868907659265","Fritz","78","83","B","Contributor"
"993996868907659265","Kreisler","84","92","I","Contributor"
"994090463882825728","Britten","27","34","B","Contributor"
"994100713008615424","Nigel","0","5","B","Contributor"
"994100713008615424","Kennedy","6","13","I","Contributor"
"994100713008615424","Alex","18","22","B","Contributor"
"994100713008615424","Dankworth","23","32","I","Contributor"
"994100713008615424","Ellington","41","50","B","Contributor"
"994101720916652032","Nigel","35","40","B","Contributor"
"994101720916652032","Kennedy","41","48","I","Contributor"
"994101720916652032","Vertigo","91","98","B","Work"
"994102017181274112","Bernard","0","7","B","Contributor"
"994102017181274112","Herrmann","8","16","I","Contributor"
"994102017181274112","Vertigo","19","26","B","Work"
"994102017181274112","Suite","27","32","I","Work"
"994103807549243392","Vertigo","102","109","B","Work"
"994103807549243392","soundtrack","110","120","I","Work"
"994103807549243392","Nigel","126","131","B","Contributor"
"994103807549243392","Kennedy","132","139","I","Contributor"
"994106300450603008","The","18","21","B","Work"
"994106300450603008","Work","22","26","I","Work"
"994106300450603008","Song","27","31","I","Work"
"994106300450603008","Alec","59","63","B","Contributor"
"994106300450603008","Dankworth","64","73","I","Contributor"
"994106300450603008","Quartet","74","81","I","Contributor"
"994112147117559809","Carl","37","41","B","Contributor"
"994112147117559809","Nielsen","42","49","I","Contributor"
"994112147117559809","Elgar","113","118","B","Contributor"
"994125428863438849","Adam","94","98","B","Contributor"
"994125428863438849","Walker","99","105","I","Contributor"
"994125428863438849","James","110","115","B","Contributor"
"994125428863438849","Baillieu","116","124","I","Contributor"
"994125428863438849","CPE","130","133","B","Contributor"
"994125428863438849","Bach","134","138","I","Contributor"
"994125428863438849","Mozart","140","146","B","Contributor"
"994125428863438849","Schubert","151","159","B","Contributor"
"994130668933320704","Bach","35","39","B","Contributor"
"994130700575100928","Marche","48","54","B","Work"
"994130700575100928","au","55","57","I","Work"
"994130700575100928","Supplice","58","66","I","Work"
"994130700575100928","Richard","76","83","B","Contributor"
"994130700575100928","Strauss","84","91","I","Contributor"
"994130700575100928","Till","94","98","B","Work"
"994130700575100928","Eulenspiegel’s","99","113","I","Work"
"994130700575100928","Lustige","114","121","I","Work"
"994130700575100928","Streiche","122","130","I","Work"
"994132291374010368","Brahms","36","42","B","Contributor"
"994132291374010368","Acker","66","71","B","Contributor"
"994132291374010368","Bilk","72","76","I","Contributor"
"994132291374010368","Stranger","80","88","B","Work"
"994132291374010368","on","89","91","I","Work"
"994132291374010368","the","92","95","I","Work"
"994132291374010368","Shore","96","101","I","Work"
"994138090015948800","Alphons","58","65","B","Contributor"
"994138090015948800","Diepenbrock","66","77","I","Contributor"
"994138090015948800","Dance","83","88","B","Work"
"994138090015948800","of","89","91","I","Work"
"994138090015948800","the","92","95","I","Work"
"994138090015948800","Nymphs","96","102","I","Work"
"994138090015948800","&amp;","103","108","I","Work"
"994138090015948800","Apollo's","109","117","I","Work"
"994138090015948800","Epilogue","118","126","I","Work"
"994138090015948800","Marsyas","136","143","B","Work"
"994138090015948800","suite","144","149","I","Work"
"994140244747354112","Tempest","33","40","B","Work"
"994140244747354112","Unfinished","55","65","B","Work"
"994140244747354112","Earth","66","71","I","Work"
"994146396205928455","Mahler","37","43","B","Contributor"
"994146836951764992","Heavy","75","80","B","Contributor"
"994146836951764992","Lifting","81","88","I","Contributor"
"994146836951764992","Jim","109","112","B","Contributor"
"994146836951764992","Ghedi","113","118","I","Contributor"
"994150015491891200","Federico","8","16","B","Contributor"
"994150015491891200","Colli","17","22","I","Contributor"
"994150015491891200","Mozart","84","90","B","Contributor"
"994150015491891200","Beethoven","95","104","B","Contributor"
"994151646379806722","Phil","80","84","B","Contributor"
"994151646379806722","Lynott","85","91","I","Contributor"
"994156695105495041","Al","9","11","B","Contributor"
"994156695105495041","Foster","12","18","I","Contributor"
"994157909884973056","Diepenbrock","41","52","B","Contributor"
"994164363488526336","Finzi","24","29","B","Contributor"
"994168887053897729","Lili","0","4","B","Contributor"
"994168887053897729","Boulanger","5","14","I","Contributor"
"994168887053897729","Lili","107","111","B","Contributor"
"994168887053897729","Clairieres","175","185","B","Work"
"994168887053897729","dans","186","190","I","Work"
"994168887053897729","le","191","193","I","Work"
"994168887053897729","Ciel","194","198","I","Work"
"994170228060893184","Dido","0","4","B","Work"
"994170228060893184","&amp;","5","10","I","Work"
"994170228060893184","Aeneas","11","17","I","Work"
"994170228060893184","George","134","140","B","Contributor"
"994170228060893184","Formby","141","147","I","Contributor"
"994170314241314816","Purcell","24","31","B","Contributor"
"994171874279075841","Ligeti","76","82","B","Contributor"
"994173332194029568","Tristes","45","52","B","Work"
"994173332194029568","apprêts","53","60","I","Work"
"994173332194029568","Rameau","66","72","B","Contributor"
"994173332194029568","Castor","75","81","B","Work"
"994173332194029568","et","82","84","I","Work"
"994173332194029568","Pollux","85","91","I","Work"
"994180480818909191","BBC","21","24","B","Contributor"
"994180480818909191","Singers","25","32","I","Contributor"
"994180480818909191","Handel","34","40","B","Contributor"
"994183816444030976","Lili","22","26","B","Contributor"
"994183816444030976","Boulanger","27","36","I","Contributor"
"994197403711492096","John","136","140","B","Contributor"
